"subject" "activity" "featDomain" "featAcceleration" "featInstrument" "featJerk" "featMagnitude" "featVariable" "featAxis" "count" "average"
"20" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "NA" "X" 600 -0.2550005277335
"21" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "NA" "Y" 550 -0.286867090604018
"22" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "NA" "Z" 500 -0.3186153918358
"23" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 50 -0.107270949192
"24" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 50 -0.04151728689
"25" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 50 -0.0740501211
"26" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 50 -0.9186085208
"27" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 50 -0.9679072436
"28" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 50 -0.9577901596
"29" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "NA" "NA" 550 -0.575003485928727
"30" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 50 -0.96346103
"31" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 50 -0.9358409828
"32" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "NA" "NA" 50 -0.842018280168
"33" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "NA" "X" 600 -0.273216629053433
"34" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "NA" "Y" 550 -0.257365101954909
"35" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "NA" "Z" 500 -0.2716806113879
"36" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 50 0.22159824394
"37" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 50 -0.0405139534294
"38" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 50 -0.11320355358
"39" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 50 -0.9280564692
"40" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 50 -0.83682740562
"41" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 50 -0.826061401628
"42" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "NA" "NA" 550 -0.499720629052727
"43" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 50 -0.8419291525
"44" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 50 -0.79514486386
"45" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "NA" "NA" 50 -0.9535888746
"46" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "NA" "X" 600 -0.2442385523993
"47" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "NA" "Y" 550 -0.251016703632545
"48" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "NA" "Z" 500 -0.3297174097135
"49" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 50 0.0810865342
"50" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 50 0.0038382040088
"51" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 50 0.010834236361
"52" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 50 -0.958482112
"53" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 50 -0.9241492736
"54" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 50 -0.9548551108
"55" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "NA" "NA" 550 -0.589244676723091
"56" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 50 -0.9543962646
"57" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 50 -0.9282456284
"58" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "NA" "NA" 50 0.24817268954
"59" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "NA" "X" 600 -0.323263628237167
"60" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "NA" "Y" 550 -0.0963341912243636
"61" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "NA" "Z" 500 -0.1708196816644
"62" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 50 -0.24888179828
"63" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 50 0.70554977346
"64" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 50 0.4458177198
"65" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 50 -0.8968300184
"66" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 50 -0.90772000676
"67" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 50 -0.85236629022
"68" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "NA" "NA" 550 -0.499720629052727
"69" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 50 -0.8419291525
"70" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 50 -0.79514486386
"71" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "NA" "NA" 2150 -0.987328799423256
"72" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "NA" "X" 450 -0.732802346268689
"73" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "NA" "Y" 450 -0.756584606653111
"74" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "NA" "Z" 450 -0.741010120902444
"75" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 100 -0.426897985221
"76" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 100 -0.521860312841
"77" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 100 -0.44942229767
"78" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 50 -0.8822964508
"79" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 50 -0.9512320494
"80" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 50 -0.9165825082
"81" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "NA" "NA" 500 -0.7192351264744
"82" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 100 -0.50098259905
"83" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 50 -0.82431943968
"84" 1 "LAYING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "NA" "NA" 500 -0.846317312528
"85" 1 "LAYING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 100 -0.38294051976
"86" 1 "LAYING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 50 -0.9326606676
"87" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "NA" "NA" 2150 -0.978464127665116
"88" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "NA" "X" 450 -0.740361841605778
"89" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "NA" "Y" 450 -0.756883541949333
"90" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "NA" "Z" 450 -0.749647767688889
"91" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 100 -0.548945861454
"92" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 100 -0.384765181797
"93" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 100 -0.39661461049
"94" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "X" 50 -0.9244374346
"95" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 50 -0.8336255561
"96" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 50 -0.81289155944
"97" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "NA" "NA" 500 -0.744334879064
"98" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 100 -0.38767954258
"99" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 50 -0.7983009404
"100" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "NA" "NA" 2150 -0.989431865125581
"101" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "NA" "X" 450 -0.809807149088889
"102" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "NA" "Y" 450 -0.801046986897778
"103" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "NA" "Z" 450 -0.825844892822
"104" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 100 -0.412327395701
"105" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 100 -0.448974495422
"106" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 100 -0.46183647946
"107" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 50 -0.9641607086
"108" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 50 -0.9322178704
"109" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 50 -0.9605869872
"110" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "NA" "NA" 500 -0.8409569449122
"111" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 100 -0.33345460332
"112" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 50 -0.9218039756
"113" 1 "SITTING" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 141 -0.289910243566667
"114" 1 "SITTING" "NA" "NA" "Gyroscope" "NA" "NA" "NA" "NA" 47 0.0676981338723404
"115" 1 "SITTING" "NA" "NA" "Gyroscope" "Jerk" "NA" "NA" "NA" 47 -0.064881619087234
"116" 1 "SITTING" "NA" "Body" "Accelerometer" "NA" "NA" "NA" "NA" 47 0.0274415479191489
"117" 1 "SITTING" "NA" "Body" "Accelerometer" "Jerk" "NA" "NA" "NA" 47 0.0297097878297872
"118" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "NA" 47 -0.929263365957447
"119" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "X" 564 -0.289990382394113
"120" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "Y" 517 -0.337848814936441
"121" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "Z" 470 -0.302181526740213
"122" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 47 -0.045350056512766
"123" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 47 -0.0919241549361702
"124" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 47 0.0629313811914894
"125" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 47 -0.977211283191489
"126" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 47 -0.966473895319149
"127" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 47 -0.941425920851064
"128" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "NA" "NA" 517 -0.53123094277499
"129" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 47 -0.93089249
"130" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 47 -0.934531840425532
"131" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "NA" "NA" 47 -0.992042623191489
"132" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "NA" "X" 564 -0.24813488354734
"133" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "NA" "Y" 517 -0.268094919792921
"134" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "NA" "Z" 470 -0.325146417565745
"135" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 47 -0.0936793807234042
"136" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 47 -0.0402118124255319
"137" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 47 -0.046702627
"138" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 47 -0.99173159212766
"139" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 47 -0.989518068510638
"140" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 47 -0.987935806382979
"141" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "NA" "NA" 517 -0.608034388290135
"142" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 47 -0.991976341276596
"143" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 47 -0.988308728510638
"144" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "NA" "NA" 47 -0.945740773404255
"145" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "NA" "X" 564 -0.344635138608865
"146" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "NA" "Y" 517 -0.259049202484139
"147" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "NA" "Z" 470 -0.314991810333511
"148" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 47 0.261237565425532
"149" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 47 -0.00130828765170213
"150" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 47 -0.104544182255319
"151" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 47 -0.977229008297872
"152" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 47 -0.922618641914894
"153" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 47 -0.93958629106383
"154" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "NA" "NA" 517 -0.573482014159574
"155" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 47 -0.948536786170213
"156" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 47 -0.927078418723404
"157" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "NA" "NA" 47 -0.987206773829787
"158" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "NA" "X" 564 -0.246883273366897
"159" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "NA" "Y" 517 -0.259455183813346
"160" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "NA" "Z" 470 -0.325296518409404
"161" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 47 0.0774825199574468
"162" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 47 -0.000619102785106384
"163" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 47 -0.00336779235021277
"164" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 47 -0.986430711276596
"165" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 47 -0.981371965319149
"166" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 47 -0.987910804468085
"167" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "NA" "NA" 517 -0.618286578359961
"168" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 47 -0.987364195531915
"169" 1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 47 -0.984120024042553
"170" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "NA" "NA" 47 0.225336937808511
"171" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "NA" "X" 564 -0.137683040131383
"172" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "NA" "Y" 517 -0.236368557802321
"173" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "NA" "Z" 470 -0.262347092921915
"174" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 47 0.831509933404255
"175" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 47 0.204411592680851
"176" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 47 0.332043702765957
"177" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 47 -0.968457145744681
"178" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 47 -0.935517055957447
"179" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 47 -0.949040933191489
"180" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "NA" "NA" 517 -0.573482014159574
"181" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 47 -0.948536786170213
"182" 1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 47 -0.927078418723404
"183" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "NA" "NA" 2021 -0.997658634933201
"184" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "NA" "X" 423 -0.82213408883026
"185" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "NA" "Y" 423 -0.804391499417967
"186" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "NA" "Z" 423 -0.736032209755839
"187" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 94 -0.393504221390851
"188" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 94 -0.456355759170213
"189" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 94 -0.490549732606383
"190" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 47 -0.977904227021277
"191" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 47 -0.962345042553192
"192" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 47 -0.94391784106383
"193" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "NA" "NA" 470 -0.770803845254681
"194" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 94 -0.479348888039362
"195" 1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 47 -0.932198374893617
"196" 1 "SITTING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "NA" "NA" 470 -0.883132152038298
"197" 1 "SITTING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 94 -0.402510809574468
"198" 1 "SITTING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 47 -0.987049617234042
"199" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "NA" "NA" 2021 -0.995090931682336
"200" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "NA" "X" 423 -0.826692427461702
"201" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "NA" "Y" 423 -0.715208897371395
"202" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "NA" "Z" 423 -0.817353192832151
"203" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 94 -0.51457741813617
"204" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 94 -0.434069236787234
"205" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 94 -0.3601775095
"206" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "X" 47 -0.976412313191489
"207" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 47 -0.917275006382979
"208" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 47 -0.934469558085106
"209" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "NA" "NA" 470 -0.837370957734042
"210" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 94 -0.35556395543617
"211" 1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 47 -0.928444801702128
"212" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "NA" "NA" 2021 -0.99912512546759
"213" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "NA" "X" 423 -0.799854608460993
"214" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "NA" "Y" 423 -0.83158169541844
"215" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "NA" "Z" 423 -0.845717081177305
"216" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 94 -0.364993099492553
"217" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 94 -0.467017841530851
"218" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 94 -0.446830544542553
"219" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 47 -0.987492994468085
"220" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 47 -0.982513909574468
"221" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 47 -0.988339184893617
"222" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "NA" "NA" 470 -0.892771835970213
"223" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 94 -0.316704962425532
"224" 1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 47 -0.981606177446808
"225" 1 "STANDING" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 159 -0.153660001572327
"226" 1 "STANDING" "NA" "NA" "Gyroscope" "NA" "NA" "NA" "NA" 53 -0.0337938382037736
"227" 1 "STANDING" "NA" "NA" "Gyroscope" "Jerk" "NA" "NA" "NA" 53 -0.0279229321962264
"228" 1 "STANDING" "NA" "Body" "Accelerometer" "NA" "NA" "NA" "NA" 53 -0.000222340747169812
"229" 1 "STANDING" "NA" "Body" "Accelerometer" "Jerk" "NA" "NA" "NA" 53 0.021963782690566
"230" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "NA" 53 -0.975591579056604
"231" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "X" 636 -0.274396243350314
"232" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "Y" 583 -0.335371213873585
"233" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "Z" 530 -0.311159895953736
"234" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 53 -0.0239877347979245
"235" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 53 -0.0593972209811321
"236" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 53 0.074800751
"237" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 53 -0.987191946603774
"238" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 53 -0.98773444
"239" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 53 -0.980645626981132
"240" 1 "STANDING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "NA" "NA" 583 -0.560304114350943
